dataset,controller,family,load_threshold,rows,barrier_rate,mean_min_projected_drift
test,camc_rsrc_anchor,all_modes,2.0,0,,
test,camc_sempc_candidate,g01,0.5,0,,
test,camc_sempc_candidate,g012,0.5,0,,
test,camc_sempc_candidate,all_modes,0.5,0,,
test,camc_sempc_candidate,g01,1.0,0,,
test,camc_sempc_candidate,g012,1.0,0,,
test,camc_sempc_candidate,all_modes,1.0,0,,
test,camc_sempc_candidate,g01,2.0,0,,
test,camc_sempc_candidate,g012,2.0,0,,
test,camc_sempc_candidate,all_modes,2.0,0,,
test,camc_static_anchor,g01,0.5,0,,
test,camc_static_anchor,g012,0.5,0,,
test,camc_static_anchor,all_modes,0.5,0,,
test,camc_static_anchor,g01,1.0,0,,
test,camc_static_anchor,g012,1.0,0,,
test,camc_static_anchor,all_modes,1.0,0,,
test,camc_static_anchor,g01,2.0,0,,
test,camc_static_anchor,g012,2.0,0,,
test,camc_static_anchor,all_modes,2.0,0,,
test,oracle_src,g01,0.5,1,1.0,-0.2996003316313527
test,oracle_src,g012,0.5,1,1.0,-0.2996003316313527
test,oracle_src,all_modes,0.5,1,1.0,-0.2996003316313527
test,oracle_src,g01,1.0,0,,
test,oracle_src,g012,1.0,0,,
test,oracle_src,all_modes,1.0,0,,
test,oracle_src,g01,2.0,0,,
test,oracle_src,g012,2.0,0,,
test,oracle_src,all_modes,2.0,0,,
test,pareto_camc_rsrc_anchor,g01,0.5,0,,
test,pareto_camc_rsrc_anchor,g012,0.5,0,,
test,pareto_camc_rsrc_anchor,all_modes,0.5,0,,
test,pareto_camc_rsrc_anchor,g01,1.0,0,,
test,pareto_camc_rsrc_anchor,g012,1.0,0,,
test,pareto_camc_rsrc_anchor,all_modes,1.0,0,,
test,pareto_camc_rsrc_anchor,g01,2.0,0,,
test,pareto_camc_rsrc_anchor,g012,2.0,0,,
test,pareto_camc_rsrc_anchor,all_modes,2.0,0,,
test,pareto_camc_sempc_candidate,g01,0.5,0,,
test,pareto_camc_sempc_candidate,g012,0.5,0,,
test,pareto_camc_sempc_candidate,all_modes,0.5,0,,
test,pareto_camc_sempc_candidate,g01,1.0,0,,
test,pareto_camc_sempc_candidate,g012,1.0,0,,
test,pareto_camc_sempc_candidate,all_modes,1.0,0,,
test,pareto_camc_sempc_candidate,g01,2.0,0,,
test,pareto_camc_sempc_candidate,g012,2.0,0,,
test,pareto_camc_sempc_candidate,all_modes,2.0,0,,
test,pareto_camc_static_anchor,g01,0.5,0,,
test,pareto_camc_static_anchor,g012,0.5,0,,
test,pareto_camc_static_anchor,all_modes,0.5,0,,
test,pareto_camc_static_anchor,g01,1.0,0,,
test,pareto_camc_static_anchor,g012,1.0,0,,
test,pareto_camc_static_anchor,all_modes,1.0,0,,
test,pareto_camc_static_anchor,g01,2.0,0,,
test,pareto_camc_static_anchor,g012,2.0,0,,
test,pareto_camc_static_anchor,all_modes,2.0,0,,
test,rsrc,g01,0.5,0,,
test,rsrc,g012,0.5,0,,
test,rsrc,all_modes,0.5,0,,
test,rsrc,g01,1.0,0,,
test,rsrc,g012,1.0,0,,
test,rsrc,all_modes,1.0,0,,
test,rsrc,g01,2.0,0,,
test,rsrc,g012,2.0,0,,
test,rsrc,all_modes,2.0,0,,
test,se_mpc,g01,0.5,0,,
test,se_mpc,g012,0.5,0,,
test,se_mpc,all_modes,0.5,0,,
test,se_mpc,g01,1.0,0,,
test,se_mpc,g012,1.0,0,,
test,se_mpc,all_modes,1.0,0,,
test,se_mpc,g01,2.0,0,,
test,se_mpc,g012,2.0,0,,
test,se_mpc,all_modes,2.0,0,,
verified,camc_rsrc_anchor,g01,0.5,0,,
verified,camc_rsrc_anchor,g012,0.5,0,,
verified,camc_rsrc_anchor,all_modes,0.5,0,,
verified,camc_rsrc_anchor,g01,1.0,0,,
verified,camc_rsrc_anchor,g012,1.0,0,,
verified,camc_rsrc_anchor,all_modes,1.0,0,,
verified,camc_rsrc_anchor,g01,2.0,0,,
verified,camc_rsrc_anchor,g012,2.0,0,,
verified,camc_rsrc_anchor,all_modes,2.0,0,,
verified,camc_sempc_candidate,g01,0.5,0,,
verified,camc_sempc_candidate,g012,0.5,0,,
verified,camc_sempc_candidate,all_modes,0.5,0,,
verified,camc_sempc_candidate,g01,1.0,0,,
verified,camc_sempc_candidate,g012,1.0,0,,
verified,camc_sempc_candidate,all_modes,1.0,0,,
verified,camc_sempc_candidate,g01,2.0,0,,
verified,camc_sempc_candidate,g012,2.0,0,,
verified,camc_sempc_candidate,all_modes,2.0,0,,
verified,camc_static_anchor,g01,0.5,0,,
verified,camc_static_anchor,g012,0.5,0,,
verified,camc_static_anchor,all_modes,0.5,0,,
verified,camc_static_anchor,g01,1.0,0,,
verified,camc_static_anchor,g012,1.0,0,,
verified,camc_static_anchor,all_modes,1.0,0,,
verified,camc_static_anchor,g01,2.0,0,,
verified,camc_static_anchor,g012,2.0,0,,
verified,camc_static_anchor,all_modes,2.0,0,,
verified,oracle_src,g01,0.5,0,,
verified,oracle_src,g012,0.5,0,,
verified,oracle_src,all_modes,0.5,0,,
verified,oracle_src,g01,1.0,0,,
verified,oracle_src,g012,1.0,0,,
verified,oracle_src,all_modes,1.0,0,,
verified,oracle_src,g01,2.0,0,,
verified,oracle_src,g012,2.0,0,,
verified,oracle_src,all_modes,2.0,0,,
verified,pareto_camc_rsrc_anchor,g01,0.5,0,,
verified,pareto_camc_rsrc_anchor,g012,0.5,0,,
verified,pareto_camc_rsrc_anchor,all_modes,0.5,0,,
verified,pareto_camc_rsrc_anchor,g01,1.0,0,,
verified,pareto_camc_rsrc_anchor,g012,1.0,0,,
verified,pareto_camc_rsrc_anchor,all_modes,1.0,0,,
verified,pareto_camc_rsrc_anchor,g01,2.0,0,,
verified,pareto_camc_rsrc_anchor,g012,2.0,0,,
verified,pareto_camc_rsrc_anchor,all_modes,2.0,0,,
verified,pareto_camc_sempc_candidate,g01,0.5,0,,
verified,pareto_camc_sempc_candidate,g012,0.5,0,,
verified,pareto_camc_sempc_candidate,all_modes,0.5,0,,
verified,pareto_camc_sempc_candidate,g01,1.0,0,,
verified,pareto_camc_sempc_candidate,g012,1.0,0,,
verified,pareto_camc_sempc_candidate,all_modes,1.0,0,,
verified,pareto_camc_sempc_candidate,g01,2.0,0,,
verified,pareto_camc_sempc_candidate,g012,2.0,0,,
verified,pareto_camc_sempc_candidate,all_modes,2.0,0,,
verified,pareto_camc_static_anchor,g01,0.5,0,,
verified,pareto_camc_static_anchor,g012,0.5,0,,
verified,pareto_camc_static_anchor,all_modes,0.5,0,,
verified,pareto_camc_static_anchor,g01,1.0,0,,
verified,pareto_camc_static_anchor,g012,1.0,0,,
verified,pareto_camc_static_anchor,all_modes,1.0,0,,
verified,pareto_camc_static_anchor,g01,2.0,0,,
verified,pareto_camc_static_anchor,g012,2.0,0,,
verified,pareto_camc_static_anchor,all_modes,2.0,0,,
verified,rsrc,g01,0.5,0,,
verified,rsrc,g012,0.5,0,,
verified,rsrc,all_modes,0.5,0,,
verified,rsrc,g01,1.0,0,,
verified,rsrc,g012,1.0,0,,
verified,rsrc,all_modes,1.0,0,,
verified,rsrc,g01,2.0,0,,
verified,rsrc,g012,2.0,0,,
verified,rsrc,all_modes,2.0,0,,
verified,se_mpc,g01,0.5,0,,
verified,se_mpc,g012,0.5,0,,
verified,se_mpc,all_modes,0.5,0,,
verified,se_mpc,g01,1.0,0,,
verified,se_mpc,g012,1.0,0,,
verified,se_mpc,all_modes,1.0,0,,
verified,se_mpc,g01,2.0,0,,
verified,se_mpc,g012,2.0,0,,
verified,se_mpc,all_modes,2.0,0,,
